vType_accel;vType_color;vType_decel;vType_hphm;vType_hpzl;vType_id;vType_lcCooperative;vType_lcKeepRight;vType_lcSpeedGain;vType_lcStrategic;vType_length;vType_maxSpeed;vType_minGap;vType_sigma;vType_tau;vType_width;vehicle_depart;vehicle_id;vehicle_type;route_edges
3;1,0,0;4;49fc723326656fb030f5ce9850d4f645;02;vtype57;1;1;1;1;4.3;6.915480812173268;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;19904.0;57;vtype57;60267 69749704 63393
3;1,0,0;4;6d13776e87cc61d67344d4528cbfbc24;02;vtype59;1;1;1;1;4.3;8.859101751715357;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;19957.0;59;vtype59;63397 64135
3;1,0,0;4;b0e54522711391e00ff34ea37bab7ec7;02;vtype63;1;1;1;1;4.3;6.599004327720495;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20152.0;63;vtype63;63397 64135
3;1,0,0;4;13acc13d50f84205b8e666d36e06b1dd;02;vtype64;1;1;1;1;4.3;12.209960181174518;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20156.0;64;vtype64;89156371 89156372
3;1,0,0;4;736fec8d0156fd57aef62551d60c0ee5;02;vtype67;1;1;1;1;4.3;9.81509779086956;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20239.457000000002;67;vtype67;89156519 64129 63402
3;1,0,0;4;9789d9f5ecb0c4e679b0bd4be9a62d17;02;vtype74;1;1;1;1;4.3;13.617854268953955;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20557.0;74;vtype74;89156371 89156372
3;1,0,0;4;255d9c188e25d551d7eb45e115aaf672;02;vtype76;1;1;1;1;4.3;8.954967820367308;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20752.0;76;vtype76;63397 64135
3;1,0,0;4;7bd59326fc6bfc70a4739c9917da019e;02;vtype77;1;1;1;1;4.3;8.451472623862257;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20796.967;77;vtype77;19775516 19775515
3;1,0,0;4;5d3b9546a1b5d9afc14e636bd9e34694;02;vtype81;1;1;1;1;4.3;9.759345605864265;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;20880.0;81;vtype81;60267 69749704 63393
3;1,0,0;4;31f6773ebae29f403515a7bf7ca71a21;02;vtype82;1;1;1;1;4.3;11.31328929092798;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21042.0;82;vtype82;63397 64135
3;1,0,0;4;3b9dfeb8ed4ec705ee852b22a557fb7e;02;vtype85;1;1;1;1;4.3;12.379092293970107;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21302.0;85;vtype85;63397 64135
3;1,0,0;4;6712e5af9475337fc7114848b406ca11;02;vtype90;1;1;1;1;4.3;10.141264582779993;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21422.0;90;vtype90;63385 69749702 69749701 60278
3;1,0,0;4;db4a67cebe3997cb97c4cccd56324980;02;vtype93;1;1;1;1;4.3;8.434286826682795;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21584.945;93;vtype93;89156519 64129 63402
3;1,0,0;4;773bedeca4508b8aa86828cffe56b555;02;vtype95;1;1;1;1;4.3;6.748224316774062;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21618.0;95;vtype95;89156371 89156372
3;1,0,0;4;c5dc1164992358b27d7a7eb672a54087;02;vtype96;1;1;1;1;4.3;8.736787204999898;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21697.0;96;vtype96;63397 64135
3;1,0,0;4;ffefb52085550c27d5df9d859dfc1cc3;02;vtype98;1;1;1;1;4.3;8.801841783189992;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;21705.0;98;vtype98;13467166 13085807
3;1,0,0;4;0952a43b12c758291567868cf0c8614c;02;vtype104;1;1;1;1;4.3;10.237712337761376;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22009.737;104;vtype104;89156519 64129 63402
